start,end,impressions,clicks,spend
2024-07-23,2024-07-23,3405,155,15.63
2024-07-22,2024-07-22,3858,173,17.84
2024-07-21,2024-07-21,5997,302,29.29
2024-07-20,2024-07-20,8269,479,40.16
2024-07-19,2024-07-19,11126,556,51.03
2024-07-18,2024-07-18,14840,732,66.55
2024-07-17,2024-07-17,16845,796,84.01
2024-07-16,2024-07-16,20399,910,97.37
2024-07-15,2024-07-15,21805,1019,99.26
2024-07-14,2024-07-14,29390,1262,126.84
2024-07-13,2024-07-13,30315,1444,143.71
2024-07-12,2024-07-12,30071,1649,148.46
2024-07-11,2024-07-11,36120,1879,172.46
2024-07-10,2024-07-10,44515,2590,211.92
2024-07-09,2024-07-09,50918,2907,263.22
2024-07-08,2024-07-08,58445,3196,269.99
2024-07-07,2024-07-07,24621,1470,114.62
2024-07-06,2024-07-06,21847,1236,120.66
2024-07-05,2024-07-05,41675,2397,213.97
2024-07-04,2024-07-04,43935,2939,234.63
2024-07-03,2024-07-03,24827,1888,164.01
2024-07-02,2024-07-02,8782,570,38.6
2024-07-01,2024-07-01,12075,776,46.47
2024-06-30,2024-06-30,13358,921,61.85
2024-06-29,2024-06-29,14145,915,68.83
2024-06-28,2024-06-28,15790,1062,77.57
2024-06-27,2024-06-27,16187,1045,79.29
2024-06-26,2024-06-26,21326,1236,91.08
2024-06-25,2024-06-25,21675,1581,111.07
2024-06-24,2024-06-24,29212,2021,137.42
2024-06-23,2024-06-23,27768,2019,150.91
2024-06-22,2024-06-22,28879,2175,152.88
2024-06-21,2024-06-21,26085,2066,158.28
2024-06-20,2024-06-20,19148,1626,126.27
2024-06-19,2024-06-19,8923,759,50.06
2024-06-18,2024-06-18,9889,735,63.7
2024-06-17,2024-06-17,9702,777,63.11
2024-06-16,2024-06-16,15368,1176,86.98
2024-06-15,2024-06-15,14945,1132,104.09
2024-06-14,2024-06-14,15850,1251,118.51
2024-06-13,2024-06-13,19815,1485,135.79
2024-06-12,2024-06-12,28352,2310,173.73
2024-06-11,2024-06-11,22411,1904,146.85
2024-06-10,2024-06-10,11070,880,73.28
2024-06-09,2024-06-09,7461,549,40.0
2024-06-08,2024-06-08,6155,493,39.53
2024-06-07,2024-06-07,2015,66,15.7
